zip,slug,neighborhood
91901,91901–Alpine,Alpine
91902,91902–Bonita,Bonita
91905,91905–Boulevard,Boulevard
91906,91906–Campo,Campo
91910,91910–ChulaVistaNorth,Chula Vista North
91911,91911–ChulaVistaSouth,Chula Vista South
91913,91913–ChulaVista–Eastlake,Chula Vista–Eastlake
91914,91914–ChulaVistaNE,Chula Vista NE
91915,91915–ChulaVistaSE,Chula Vista SE
91916,91916–Descanso,Descanso
91917,91917–Dulzura,Dulzura
91931,91931–Guatay,Guatay
91932,91932–ImperialBeach,Imperial Beach
91934,91934–Jacumba,Jacumba
91935,91935–Jamul,Jamul
91941,"91941–LaMesa,MountHelix","La Mesa, Mount Helix"
91942,"91942–LaMesa,Grossmont","La Mesa, Grossmont"
91945,91945–LemonGrove,Lemon Grove
91948,91948–MountLaguna,Mount Laguna
91950,91950–NationalCity,National City
91962,91962–PineValley,Pine Valley
91963,91963–Potrero,Potrero
91977,91977–SpringValley,Spring Valley
91978,91978–RanchoSanDiego,Rancho San Diego
92003,92003–Bonsall,Bonsall
92007,92007–Cardiff,Cardiff
92008,92008–CarlsbadNW,Carlsbad NW
92009,92009–CarlsbadSE,Carlsbad SE
92010,92010–CarlsbadNE,Carlsbad NE
92011,92011–CarlsbadSW,Carlsbad SW
92014,92014–DelMar,Del Mar
92019,92019–ElCajon,El Cajon
92020,92020–ElCajon,El Cajon
92021,92021–ElCajon,El Cajon
92024,92024–Encinitas,Encinitas
92025,92025–EscondidoSouth,Escondido South
92026,92026–EscondidoNorth,Escondido North
92027,92027–EscondidoEast,Escondido East
92028,92028–Fallbrook,Fallbrook
92029,92029–EscondidoWest,Escondido West
92036,92036–Julian,Julian
92037,92037–LaJolla,La Jolla
92040,92040–Lakeside,Lakeside
92054,92054–OceansideSouth,Oceanside South
92056,92056–OceansideEast,Oceanside East
92057,92057–OceansideNorth,Oceanside North
92058,92058–Oceanside(Central),Oceanside(Central)
92059,92059–Pala,Pala
92060,92060–PalomarMountain,Palomar Mountain
92061,92061–PaumaValley,Pauma Valley
92064,92064–Poway,Poway
92065,92065–Ramona,Ramona
92066,92066–Ranchita,Ranchita
92067,92067–RanchoSantaFe,Rancho Santa Fe
92069,92069–SanMarcosSouth,San Marcos South
92070,92070–SantaYsabel,Santa Ysabel
92071,92071–Santee,Santee
92075,92075–SolanaBeach,Solana Beach
92078,92078–SanMarcosSouth,San Marcos South
92081,92081–VistaSouth,Vista South
92082,92082–ValleyCenter,Valley Center
92083,92083–VistaWest,Vista West
92084,92084–VistaEast,Vista East
92086,92086–WarnerSprings,Warner Springs
92091,92091–RanchoSantaFe,Rancho Santa Fe
92101,92101–Downtown,Downtown
92102,"92102–GoldenHill,SouthPark","Golden Hill, South Park"
92103,"92103–Hillcrest,MissionHills","Hillcrest, Mission Hills"
92104,92104–NorthPark,North Park
92105,92105–CityHeights,City Heights
92106,92106–PointLoma,Point Loma
92107,92107–OceanBeach,Ocean Beach
92108,92108–MissionValley,Mission Valley
92109,"92109–PacificBeach,MissionBeach","Pacific Beach, Mission Beach"
92110,92110–Morena,Morena
92111,92111–LindaVista,Linda Vista
92113,92113–LoganHeights,Logan Heights
92114,92114–Encanto,Encanto
92115,92115–College,College
92116,"92116–Kensington,NormalHeights","Kensington, Normal Heights"
92117,92117–Clairemont,Clairemont
92118,92118–Coronado,Coronado
92119,92119–SanCarlos,San Carlos
92120,"92120–AlliedGardens,DelCerro","Allied Gardens, Del Cerro"
92121,92121–SorrentoValley,Sorrento Valley
92122,92122–UniversityCity,University City
92123,92123–SerraMesa,Serra Mesa
92124,92124–Tierrasanta,Tierrasanta
92126,92126–MiraMesa,Mira Mesa
92127,92127–RanchoBernardoWest,Rancho Bernardo West
92128,92128–RanchoBernardoEast,Rancho Bernardo East
92129,92129–Penasquitos,Penasquitos
92130,92130–CarmelValley,Carmel Valley
92131,92131–ScrippsRanch,Scripps Ranch
92139,92139–ParadiseHills,Paradise Hills
92154,"92154–Nestor,OtayMesa","Nestor, Otay Mesa"
92173,92173–SanYsidro,San Ysidro
